Подача и захват бумаги;RC2-2014-000CN;RC2-2014-000CN - Держатель ролика отделения бумаги из кассеты (лоток 2);['HP Color LaserJet CM2320nf MFP', 'HP LaserJet CP1525n color', 'Canon Satera LBP7200Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet CP1525nw color', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 200 color M251nw', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro 200 color MFP M276n', 'HP Color LaserJet CM1312 MFP', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 200 color MFP M276nw', 'HP Color LaserJet CM1312nfi MFP', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro CM1415fn Color MFP', 'HP Color LaserJet CM2320 MFP', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro CM1415fnw Color MFP', 'HP Color LaserJet CM2320fxi MFP', 'HP Color LaserJet CP2025x'];E:\Projects\PycharmProjects\parser_profit\images\hp\RC2-2014-000CN.jpg
Подача и захват бумаги;RM1-4426-000CN;RM1-4426-000CN - Ролик захвата бумаги из кассеты;['Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8280Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP7100Cn', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4426-000CN.jpg
Подача и захват бумаги;RM1-4426-000CN;CN | RM1-4426-000CN - Ролик захвата бумаги из кассеты;['Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8280Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP7100Cn', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon LASER SHOT LBP5050', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon Satera LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8280Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP7100Cn', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon LASER SHOT LBP5050', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025n', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8280Cw', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP7200Cdn', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon Satera LBP7200Cd', 'Canon imageCLASS LBP7110Cw', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS LBP7200Cdn', 'HP LaserJet CP1525n color', 'Canon Satera MF8230Cn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525nw', 'Canon Satera MF8280Cn', 'Canon imageCLASS MF8030Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050n', 'Canon imageCLASS MF8280Cw', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7100Cn', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7110Cw', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025dn'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4426-000CN.jpg
Подача и захват бумаги;RM1-4922-000CN;RM1-4922-000CN - Кассета на 150 листов, в сборе;['HP Color LaserJet CM1312nfi MFP'];
Подача и захват бумаги;RM1-8765-000CN;RM1-8765-000CN - Ролик отделения бумаги из кассеты, в сборе;['Canon i-SENSYS MF8230Cn', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon LASER SHOT LBP7200Cd', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476nw', 'Canon LASER SHOT LBP7200Cdn', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525n color', 'Canon Satera LBP7200Cd', 'Canon imageCLASS MF8030Cn', 'HP LaserJet CP1525nw color', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251n', 'Canon Satera MF8230Cn', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025x'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-8765-000CN.jpg
Подача и захват бумаги;RM1-4840-000CN;HP | RM1-4840-000CN - Ролик отделения бумаги из кассеты, в сборе (лоток 2);['Canon i-SENSYS MF8230Cn', 'HP Color LaserJet CP2025x', 'Canon LASER SHOT LBP5050n', 'Canon i-SENSYS MF8330Cdn', 'HP Color LaserJet Pro MFP M476dn', 'Canon LASER SHOT LBP7200Cd', 'Canon i-SENSYS MF8540Cdn', 'HP Color LaserJet Pro MFP M476dw', 'Canon LASER SHOT LBP7200Cdn', 'Canon imageCLASS LBP7200Cdn', 'HP Color LaserJet Pro MFP M476nw', 'Canon Satera LBP7200Cd', 'Canon imageCLASS LBP7660Cdn', 'HP LaserJet CP1525n color', 'Canon Satera LBP7200Cdn', 'Canon imageCLASS MF8030Cn', 'HP LaserJet CP1525nw color', 'Canon Satera MF8230Cn', 'Canon imageCLASS MF8050Cn', 'HP LaserJet Pro 200 color M251n', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP7200Cd', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS LBP7200Cdn', 'HP Color LaserJet CM2320fxi MFP', 'HP LaserJet Pro 300 color M351a', 'Canon i-SENSYS LBP7210Cdn', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet Pro 300 color MFP M375nw', 'Canon i-SENSYS LBP7660Cdn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 400 color M451dn', 'Canon i-SENSYS LBP7680Cx', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 400 color M451dw', 'Canon i-SENSYS MF724Cdw', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro 400 color M451nw', 'Canon i-SENSYS MF728Cdw', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro 400 color MFP M475dn', 'Canon i-SENSYS MF729Cx', 'HP Color LaserJet CP2025', 'HP LaserJet Pro 400 color MFP M475dw', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP2025dn', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP2025n', 'HP LaserJet Pro CM1415fnw Color MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4840-000CN.jpg
Внутренние компоненты;RM1-4428-000CN;RM1-4428-000CN - Кассета для картриджей, в сборе;['Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP1215', 'Canon LASER SHOT LBP5050n', 'Canon imageCLASS MF8030Cn', 'HP Color LaserJet CP1217', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8050Cn', 'HP Color LaserJet CP1515n', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM1312 MFP', 'HP Color LaserJet CP1518ni', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CM1312nfi MFP'];
Узел переноса;RM1-4436-000CN;RM1-4436-000CN - Ремень для переноса изображения, в сборе;['Canon imageCLASS MF8030Cn', 'HP Color LaserJet CP1515n', 'Canon LASER SHOT LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP Color LaserJet CP1518ni', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet CP1525n color', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet CP1525nw color', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP1217', 'HP LaserJet Pro CM1415fnw Color MFP'];
Узел переноса;RM1-7866-000CN;HP | RM1-7866-000CN - Ремень для переноса изображения, в сборе;['Canon imageCLASS MF8030Cn', 'HP Color LaserJet CP1515n', 'Canon LASER SHOT LBP5050n', 'Canon imageCLASS MF8050Cn', 'HP Color LaserJet CP1518ni', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet CP1525n color', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet CP1525nw color', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP1215', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP1217', 'HP LaserJet Pro CM1415fnw Color MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-7866-000CN.jpg
Узел переноса;RM1-4445-000CN;RM1-4445-000CN - Вал переноса заряда;['HP Color LaserJet CM1312 MFP', 'HP LaserJet Pro 200 color M251n', 'Canon LASER SHOT LBP5050n', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet Pro 200 color M251nw', 'Canon i-SENSYS LBP5050', 'HP Color LaserJet CP1215', 'HP LaserJet Pro 200 color MFP M276n', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CP1217', 'HP LaserJet Pro 200 color MFP M276nw', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CP1515n', 'HP LaserJet Pro CM1415fn Color MFP', 'Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP1518ni', 'HP LaserJet Pro CM1415fnw Color MFP', 'Canon imageCLASS MF8030Cn', 'HP LaserJet CP1525n color', 'Canon imageCLASS MF8050Cn', 'HP LaserJet CP1525nw color'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4445-000CN.jpg
Электронные компоненты;CC398-60001;CC398-60001 - Плата форматтера (факс / картридер);[];E:\Projects\PycharmProjects\parser_profit\images\hp\CC398-60001.jpg
Электронные компоненты;Q3948-60186;Q3948-60186 - Мотор планшетного сканера;['HP Color LaserJet CM2320fxi MFP', 'HP LaserJet M1522n MFP', 'HP Color LaserJet 2840', 'HP Color LaserJet CM2320nf MFP', 'HP LaserJet M1522nf MFP', 'HP Color LaserJet CM1312 MFP', 'HP LaserJet 3030', 'HP LaserJet M2727nf', 'HP Color LaserJet CM1312nfi MFP', 'HP LaserJet 3052', 'HP LaserJet M2727nfs', 'HP Color LaserJet CM2320 MFP', 'HP LaserJet 3055'];E:\Projects\PycharmProjects\parser_profit\images\hp\Q3948-60186.jpg
Электронные компоненты;RM1-4689-000CN;RM1-4689-000CN - Плата высоковольтного питания;['Canon i-SENSYS MF8050Cn', 'HP Color LaserJet CP1215', 'Canon LASER SHOT LBP5050n', 'Canon imageCLASS MF8030Cn', 'HP Color LaserJet CP1217', 'Canon i-SENSYS LBP5050', 'Canon imageCLASS MF8050Cn', 'HP Color LaserJet CP1515n', 'Canon i-SENSYS LBP5050n', 'HP Color LaserJet CM1312 MFP', 'HP Color LaserJet CP1518ni', 'Canon i-SENSYS MF8030Cn', 'HP Color LaserJet CM1312nfi MFP'];
Электронные компоненты;RM1-4777-000CN;RM1-4777-000CN - Плата питания узла термозакрепления (220-240В);['HP Color LaserJet CP1215', 'HP Color LaserJet CP1515n', 'HP Color LaserJet CM1312nfi MFP', 'HP Color LaserJet CP1217', 'HP Color LaserJet CP1518ni'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-4777-000CN.jpg
Электронные компоненты;RM1-5316-020CN;RM1-5316-020CN - Плата низковольтного питания (220-240В);['HP Color LaserJet CM1312nfi MFP'];E:\Projects\PycharmProjects\parser_profit\images\hp\RM1-5316-020CN.jpg
